Queens,Seconds,Is Solved
100,0.000550691,1
200,0.001425,1
300,0.00219798,1
400,0.00327716,1
500,0.00543173,1
600,0.00765009,1
700,0.00922465,1
800,0.0104477,1
900,0.0153269,1
1000,0.0188125,1
1100,0.0214023,1
1200,0.0247233,1
1300,0.0303165,1
1400,0.0360549,1
1500,0.0384256,1
1600,0.0447814,1
1700,0.0495375,1
1800,0.0584957,1
1900,0.0633262,1
2000,0.0672345,1
2100,0.0740952,1
2200,0.0843407,1
2300,0.0880273,1
2400,0.0983392,1
2500,0.106594,1
2600,0.10922,1
2700,0.121255,1
2800,0.137536,1
2900,0.137871,1
3000,0.144234,1
3100,0.155109,1
3200,0.16665,1
3300,0.176322,1
3400,0.188429,1
3500,0.201224,1
3600,0.220224,1
3700,0.223968,1
3800,0.235926,1
3900,0.24488,1
4000,0.267143,1
4100,0.27204,1
4200,0.287072,1
4300,0.305565,1
4400,0.319809,1
4500,0.346325,1
4600,0.346069,1
4700,0.354453,1
4800,0.373374,1
4900,0.396614,1
5000,0.405478,1
5100,0.412448,1
5200,0.445654,1
5300,0.460659,1
5400,0.466684,1
5500,0.484514,1
5600,0.508167,1
5700,0.523918,1
5800,0.545256,1
5900,0.568288,1
6000,0.570654,1
6100,0.607535,1
6200,0.61258,1
6300,0.63887,1
6400,0.648867,1
6500,0.6736,1
6600,0.698144,1
6700,0.719283,1
6800,0.743651,1
6900,0.752287,1
7000,0.786311,1
7100,0.804172,1
7200,0.819631,1
7300,0.864532,1
7400,0.870324,1
7500,0.902591,1
7600,0.928769,1
7700,0.942341,1
7800,0.980087,1
7900,1.00369,1
8000,1.02359,1
8100,1.03846,1
8200,1.06736,1
8300,1.10301,1
8400,1.12751,1
8500,1.13698,1
8600,1.17521,1
8700,1.19489,1
8800,1.2257,1
8900,1.28453,1
9000,1.28094,1
9100,1.31538,1
9200,1.35042,1
9300,1.3714,1
9400,1.40631,1
9500,1.43141,1
9600,1.45791,1
9700,1.4975,1
9800,1.51422,1
9900,1.53568,1
10000,1.60139,1
10100,1.60874,1
10200,1.64429,1
10300,1.68405,1
10400,1.71657,1
10500,1.72658,1
10600,1.76998,1
10700,1.79647,1
10800,1.85782,1
10900,1.89874,1
11000,1.90236,1
11100,1.92888,1
11200,1.99893,1
11300,2.00844,1